Customer_ID,Customer_Name,Order_Date,Amount,Product_Service,Channel
C00079,휱ト0079,2025-07-12,"26,352",Enterprise Plan,Direct
C00138,휱ト0138,2025-03-25,"28,531",Pro Plan,Online
C00094,휱ト0094,2025-07-14,"5,626",Maintenance,Event
C00095,휱ト0095,2025-08-04,"36,154",Implementation,Online
C00157,휱ト0157,2025-09-20,"47,096",Add-on: Support,Marketplace
C00055,휱ト0055,2025-05-02,"24,987",Maintenance,Referral
C00090,휱ト0090,2025-09-17,"14,545",Basic Plan,Marketplace
C00133,휱ト0133,2025-04-22,"9,330",Maintenance,Direct
C00036,휱ト0036,2025-04-19,"17,525",Add-on: Support,Referral
C00025,휱ト0025,2025-01-20,"5,083",Basic Plan,Referral
C00146,휱ト0146,2025-06-05,"4,912",Add-on: Support,Online
C00003,휱ト0003,2025-11-26,"33,831",Implementation,Online
C00043,휱ト0043,2025-06-29,"27,826",Maintenance,Marketplace
C00113,휱ト0113,2025-03-04,"23,150",Consulting,Event
C00087,휱ト0087,2025-03-27,"41,993",Training,Event
C00041,휱ト0041,2025-08-31,316,Add-on: Support,Online
C00011,휱ト0011,2025-01-06,"47,633",Pro Plan,Event
C00022,휱ト0022,2025-06-27,"7,192",Pro Plan,Referral
C00158,휱ト0158,2025-10-12,"16,581",Maintenance,Partner
C00184,휱ト0184,2025-11-02,"35,519",Maintenance,Marketplace
C00159,휱ト0159,2025-10-02,494,Pro Plan,Event
C00063,휱ト0063,2025-12-04,"13,507",Implementation,Online
C00073,휱ト0073,2025-03-04,"8,095",Training,Partner
C00018,휱ト0018,2025-08-07,"19,822",Add-on: Support,Marketplace
C00005,휱ト0005,2025-05-19,"40,962",Maintenance,Event
C00032,휱ト0032,2025-05-23,"30,237",Maintenance,Referral
C00061,휱ト0061,2025-12-10,"23,591",Enterprise Plan,Direct
C00182,휱ト0182,2025-11-10,"6,226",Implementation,Event
C00005,휱ト0005,2025-06-21,"46,822",Enterprise Plan,Online
C00051,휱ト0051,2025-05-09,"9,149",Consulting,Online
C00182,휱ト0182,2025-12-02,"26,854",Enterprise Plan,Online
C00061,휱ト0061,2025-10-13,"48,646",Implementation,Online
C00157,휱ト0157,2025-02-06,"3,633",Consulting,Referral
C00043,휱ト0043,2025-11-20,"35,043",Enterprise Plan,Partner
C00011,휱ト0011,2025-12-10,"47,653",Add-on: Support,Partner
C00193,휱ト0193,2025-06-14,"35,888",Consulting,Direct
C00189,휱ト0189,2025-02-05,"21,394",Add-on: Support,Online
C00110,휱ト0110,2025-03-16,"41,085",Maintenance,Event
C00194,휱ト0194,2025-05-08,"3,721",Implementation,Online
C00025,휱ト0025,2025-01-11,"25,770",Maintenance,Online
C00026,휱ト0026,2025-11-06,"18,639",Enterprise Plan,Partner
C00037,휱ト0037,2025-10-25,"37,277",Maintenance,Direct
C00116,휱ト0116,2025-12-28,"26,568",Enterprise Plan,Direct
C00094,휱ト0094,2025-12-31,"30,692",Implementation,Partner
C00135,휱ト0135,2025-07-30,"28,690",Add-on: Support,Online
C00191,휱ト0191,2025-06-10,"14,679",Implementation,Online
C00083,휱ト0083,2025-10-05,"45,207",Implementation,Online
C00107,휱ト0107,2025-08-27,"17,651",Implementation,Direct
C00179,휱ト0179,2025-08-24,"15,650",Add-on: Analytics,Referral
C00006,휱ト0006,2025-08-25,"33,224",Enterprise Plan,Marketplace
C00185,휱ト0185,2025-11-16,"49,686",Consulting,Online
C00025,휱ト0025,2025-03-03,"38,916",Maintenance,Event
C00155,휱ト0155,2025-12-14,"33,194",Maintenance,Marketplace
C00054,휱ト0054,2025-08-14,"9,227",Add-on: Support,Referral
C00074,휱ト0074,2025-03-22,"47,872",Training,Direct
C00016,휱ト0016,2025-10-29,"36,654",Add-on: Analytics,Marketplace
C00056,휱ト0056,2025-12-02,"39,110",Implementation,Referral
C00004,휱ト0004,2025-10-21,"48,398",Pro Plan,Referral
C00089,휱ト0089,2025-06-15,"26,128",Consulting,Event
C00105,휱ト0105,2025-08-27,"19,759",Add-on: Support,Referral
C00192,휱ト0192,2025-01-31,"39,286",Consulting,Referral
C00136,휱ト0136,2025-04-13,"5,121",Basic Plan,Direct
C00028,휱ト0028,2025-06-08,"32,941",Pro Plan,Online
C00034,휱ト0034,2025-09-08,"40,101",Maintenance,Partner
C00173,휱ト0173,2025-01-05,"34,384",Maintenance,Online
C00185,휱ト0185,2025-03-25,"12,689",Implementation,Event
C00102,휱ト0102,2025-02-11,"13,945",Maintenance,Event
C00023,휱ト0023,2025-10-12,"41,044",Add-on: Analytics,Online
C00031,휱ト0031,2025-07-27,"6,459",Add-on: Support,Partner
C00056,휱ト0056,2025-10-30,"8,496",Basic Plan,Event
C00196,휱ト0196,2025-05-06,"42,685",Pro Plan,Event
C00158,휱ト0158,2025-07-05,"22,659",Pro Plan,Event
C00147,휱ト0147,2025-04-15,"47,174",Add-on: Analytics,Marketplace
C00088,휱ト0088,2025-06-09,"49,310",Add-on: Support,Marketplace
C00039,휱ト0039,2025-05-02,"19,779",Implementation,Partner
C00199,휱ト0199,2025-05-29,"1,088",Add-on: Support,Marketplace
C00169,휱ト0169,2025-11-01,"28,081",Implementation,Referral
C00121,휱ト0121,2025-11-14,"38,951",Implementation,Marketplace
C00127,휱ト0127,2025-08-21,"40,484",Training,Partner
C00178,휱ト0178,2025-02-21,"5,145",Training,Partner
C00153,휱ト0153,2025-06-06,"34,805",Consulting,Referral
C00035,휱ト0035,2025-03-29,"8,491",Training,Partner
C00100,휱ト0100,2025-01-13,"10,827",Training,Partner
C00164,휱ト0164,2025-04-13,"21,345",Basic Plan,Marketplace
C00016,휱ト0016,2025-11-29,"10,531",Consulting,Online
C00004,휱ト0004,2025-06-16,"32,546",Add-on: Support,Online
C00054,휱ト0054,2025-05-22,"12,253",Maintenance,Partner
C00119,휱ト0119,2025-10-05,"49,838",Pro Plan,Partner
C00172,휱ト0172,2025-05-07,"12,733",Maintenance,Event
C00011,휱ト0011,2025-04-04,"14,999",Maintenance,Direct
C00030,휱ト0030,2025-01-26,"49,994",Implementation,Event
C00138,휱ト0138,2025-10-19,"10,369",Consulting,Referral
C00051,휱ト0051,2025-03-22,"44,060",Pro Plan,Marketplace
C00136,휱ト0136,2025-10-15,"46,768",Add-on: Analytics,Marketplace
C00130,휱ト0130,2025-08-29,"35,140",Add-on: Analytics,Partner
C00057,휱ト0057,2025-02-04,"6,711",Add-on: Analytics,Partner
C00200,휱ト0200,2025-02-11,"45,512",Implementation,Referral
C00087,휱ト0087,2025-09-01,"37,563",Enterprise Plan,Event
C00164,휱ト0164,2025-01-11,"13,965",Maintenance,Partner
C00191,휱ト0191,2025-05-19,"25,469",Training,Direct
C00095,휱ト0095,2025-06-01,"5,280",Training,Marketplace
C00197,휱ト0197,2025-06-13,"45,948",Basic Plan,Direct
C00066,휱ト0066,2025-03-18,"32,875",Add-on: Support,Referral
C00134,휱ト0134,2025-01-23,"2,119",Add-on: Analytics,Event
C00007,휱ト0007,2025-12-01,"22,807",Consulting,Partner
C00025,휱ト0025,2025-08-04,"37,000",Add-on: Analytics,Event
C00097,휱ト0097,2025-12-23,832,Training,Partner
C00115,휱ト0115,2025-07-30,"13,632",Add-on: Support,Event
C00005,휱ト0005,2025-12-12,"21,917",Add-on: Analytics,Marketplace
C00041,휱ト0041,2025-10-10,"30,133",Enterprise Plan,Online
C00106,휱ト0106,2025-09-04,"25,610",Add-on: Analytics,Partner
C00024,휱ト0024,2025-01-10,"43,220",Enterprise Plan,Direct
C00003,휱ト0003,2025-11-30,"3,260",Add-on: Support,Marketplace
C00166,휱ト0166,2025-09-15,"20,209",Maintenance,Partner
C00175,휱ト0175,2025-12-14,"17,576",Implementation,Direct
C00056,휱ト0056,2025-02-27,"21,062",Add-on: Analytics,Marketplace
C00074,휱ト0074,2025-11-11,"38,082",Consulting,Direct
C00163,휱ト0163,2025-04-15,"36,391",Training,Direct
C00015,휱ト0015,2025-01-09,"40,012",Add-on: Analytics,Direct
C00157,휱ト0157,2025-04-10,"49,484",Training,Event
C00108,휱ト0108,2025-05-21,"40,522",Maintenance,Partner
C00087,휱ト0087,2025-12-19,"44,465",Consulting,Partner
C00072,휱ト0072,2025-10-28,"35,771",Training,Referral
C00001,휱ト0001,2025-04-05,"45,534",Implementation,Direct
C00133,휱ト0133,2025-11-06,"32,246",Pro Plan,Partner
C00055,휱ト0055,2025-08-30,"39,505",Pro Plan,Event
C00028,휱ト0028,2025-06-08,"24,614",Implementation,Online
C00088,휱ト0088,2025-06-09,"14,398",Basic Plan,Partner
C00182,휱ト0182,2025-10-15,"41,894",Training,Online
C00149,휱ト0149,2025-05-08,"15,115",Consulting,Direct
C00004,휱ト0004,2025-03-05,"1,638",Add-on: Analytics,Referral
C00163,휱ト0163,2025-06-29,"46,183",Add-on: Analytics,Event
C00088,휱ト0088,2025-04-10,"7,241",Add-on: Support,Online
C00009,휱ト0009,2025-08-23,"3,603",Basic Plan,Referral
C00199,휱ト0199,2025-12-28,"17,639",Add-on: Analytics,Partner
C00010,휱ト0010,2025-09-02,"33,021",Pro Plan,Partner
C00036,휱ト0036,2025-02-25,"12,297",Training,Partner
C00077,휱ト0077,2025-10-03,"7,877",Implementation,Online
C00033,휱ト0033,2025-11-17,"45,400",Enterprise Plan,Online
C00107,휱ト0107,2025-07-23,"1,692",Add-on: Support,Partner
C00195,휱ト0195,2025-01-06,"42,996",Implementation,Referral
C00005,휱ト0005,2025-02-26,"43,764",Enterprise Plan,Partner
C00037,휱ト0037,2025-03-12,"17,965",Training,Event
C00096,휱ト0096,2025-08-08,"2,716",Pro Plan,Online
C00060,휱ト0060,2025-04-24,"17,429",Basic Plan,Online
C00004,휱ト0004,2025-10-12,"40,505",Add-on: Analytics,Event
C00105,휱ト0105,2025-04-25,"42,182",Basic Plan,Partner
C00144,휱ト0144,2025-05-06,"14,690",Maintenance,Direct
C00176,휱ト0176,2025-02-14,"6,924",Add-on: Support,Direct
C00143,휱ト0143,2025-01-11,"7,421",Consulting,Partner
C00007,휱ト0007,2025-05-20,"29,197",Maintenance,Referral
C00130,휱ト0130,2025-06-10,"39,246",Pro Plan,Partner
C00152,휱ト0152,2025-10-15,"32,374",Maintenance,Online
C00164,휱ト0164,2025-03-06,"5,150",Pro Plan,Online
C00029,휱ト0029,2025-11-01,"30,378",Add-on: Analytics,Referral
C00103,휱ト0103,2025-09-29,"5,770",Implementation,Partner
C00016,휱ト0016,2025-05-07,"5,160",Add-on: Support,Event
C00065,휱ト0065,2025-04-08,"38,557",Training,Online
C00087,휱ト0087,2025-07-16,"36,349",Maintenance,Direct
C00050,휱ト0050,2025-09-22,"4,525",Maintenance,Direct
C00139,휱ト0139,2025-04-03,"45,472",Basic Plan,Event
C00153,휱ト0153,2025-07-01,"11,788",Add-on: Analytics,Partner
C00054,휱ト0054,2025-10-09,"47,944",Enterprise Plan,Online
C00080,휱ト0080,2025-07-10,"9,581",Consulting,Event
C00101,휱ト0101,2025-10-18,"17,234",Enterprise Plan,Referral
C00100,휱ト0100,2025-01-07,"36,965",Enterprise Plan,Referral
C00118,휱ト0118,2025-05-20,"31,369",Pro Plan,Direct
C00049,휱ト0049,2025-04-18,"4,760",Implementation,Partner
C00016,휱ト0016,2025-04-10,"28,198",Enterprise Plan,Referral
C00163,휱ト0163,2025-02-04,"11,563",Training,Marketplace
C00077,휱ト0077,2025-04-20,"16,523",Implementation,Event
C00081,휱ト0081,2025-12-10,"18,615",Maintenance,Online
C00045,휱ト0045,2025-01-13,"43,579",Enterprise Plan,Partner
C00176,휱ト0176,2025-01-13,"15,316",Training,Marketplace
C00030,휱ト0030,2025-08-20,"34,824",Basic Plan,Marketplace
C00012,휱ト0012,2025-03-29,"32,530",Training,Event
C00198,휱ト0198,2025-07-05,"5,856",Add-on: Analytics,Marketplace
C00057,휱ト0057,2025-04-09,"14,167",Consulting,Event
C00184,휱ト0184,2025-07-28,"39,219",Add-on: Support,Marketplace
C00048,휱ト0048,2025-02-21,"42,254",Maintenance,Marketplace
C00168,휱ト0168,2025-10-07,"2,919",Basic Plan,Marketplace
C00164,휱ト0164,2025-06-21,"8,059",Basic Plan,Partner
C00046,휱ト0046,2025-12-12,"38,573",Add-on: Support,Online
C00151,휱ト0151,2025-12-25,"14,048",Implementation,Event
C00152,휱ト0152,2025-01-02,"26,317",Add-on: Analytics,Event
C00007,휱ト0007,2025-04-21,"27,231",Add-on: Support,Marketplace
C00123,휱ト0123,2025-06-02,"49,647",Pro Plan,Online
C00014,휱ト0014,2025-05-25,"12,995",Pro Plan,Online
C00182,휱ト0182,2025-12-25,"49,970",Pro Plan,Direct
C00083,휱ト0083,2025-06-14,"5,231",Basic Plan,Partner
C00141,휱ト0141,2025-06-08,"49,533",Pro Plan,Event
C00021,휱ト0021,2025-03-14,"47,033",Pro Plan,Partner
C00039,휱ト0039,2025-12-10,"4,186",Basic Plan,Partner
C00151,휱ト0151,2025-04-10,"27,495",Basic Plan,Online
C00105,휱ト0105,2025-10-16,"11,313",Consulting,Marketplace
C00017,휱ト0017,2025-03-02,"5,449",Add-on: Support,Referral
C00137,휱ト0137,2025-09-26,"45,877",Maintenance,Direct
C00194,휱ト0194,2025-09-30,"11,852",Implementation,Referral
C00022,휱ト0022,2025-04-18,"17,604",Add-on: Support,Referral
C00068,휱ト0068,2025-02-25,"21,400",Implementation,Partner
C00091,휱ト0091,2025-10-18,"17,778",Training,Direct
C00192,휱ト0192,2025-06-29,"15,947",Enterprise Plan,Referral
C00116,휱ト0116,2025-10-17,"44,433",Basic Plan,Event
C00123,휱ト0123,2025-06-21,"29,669",Add-on: Analytics,Referral
C00113,휱ト0113,2025-01-29,"2,784",Basic Plan,Referral
C00044,휱ト0044,2025-07-15,"48,328",Consulting,Online
C00159,휱ト0159,2025-10-23,"39,039",Add-on: Analytics,Marketplace
C00174,휱ト0174,2025-05-16,"16,902",Basic Plan,Referral
C00189,휱ト0189,2025-05-03,"27,120",Consulting,Direct
C00125,휱ト0125,2025-10-11,"34,717",Add-on: Support,Direct
C00161,휱ト0161,2025-09-10,"15,053",Basic Plan,Partner
C00083,휱ト0083,2025-02-22,"33,894",Training,Marketplace
C00081,휱ト0081,2025-05-16,686,Add-on: Support,Partner
C00009,휱ト0009,2025-09-18,"5,378",Basic Plan,Marketplace
C00011,휱ト0011,2025-12-16,"4,479",Maintenance,Event
C00174,휱ト0174,2025-03-11,"38,352",Enterprise Plan,Event
C00150,휱ト0150,2025-09-11,"1,375",Add-on: Analytics,Referral
C00159,휱ト0159,2025-08-22,"12,640",Training,Direct
C00076,휱ト0076,2025-01-13,"18,899",Pro Plan,Partner
C00087,휱ト0087,2025-01-07,"40,250",Maintenance,Direct
C00022,휱ト0022,2025-01-12,"39,720",Basic Plan,Event
C00132,휱ト0132,2025-09-11,"9,199",Implementation,Event
C00058,휱ト0058,2025-07-17,"44,694",Pro Plan,Partner
C00059,휱ト0059,2025-12-26,"32,667",Implementation,Event
C00190,휱ト0190,2025-06-04,"29,015",Basic Plan,Event
C00068,휱ト0068,2025-08-08,"8,879",Basic Plan,Online
C00113,휱ト0113,2025-02-14,"31,418",Add-on: Analytics,Event
C00068,휱ト0068,2025-12-21,"14,658",Training,Marketplace
C00053,휱ト0053,2025-09-14,"8,847",Add-on: Support,Marketplace
C00166,휱ト0166,2025-10-14,"32,273",Implementation,Direct
C00087,휱ト0087,2025-04-30,"22,394",Maintenance,Direct
C00099,휱ト0099,2025-08-19,"29,795",Add-on: Analytics,Marketplace
C00005,휱ト0005,2025-11-09,"34,861",Add-on: Analytics,Event
C00158,휱ト0158,2025-10-27,437,Consulting,Direct
C00059,휱ト0059,2025-11-09,"34,404",Pro Plan,Marketplace
C00186,휱ト0186,2025-02-12,"40,384",Consulting,Online
C00089,휱ト0089,2025-04-24,"45,538",Consulting,Online
C00145,휱ト0145,2025-07-31,"30,339",Add-on: Support,Marketplace
C00145,휱ト0145,2025-07-05,"26,985",Pro Plan,Event
C00004,휱ト0004,2025-10-02,"2,693",Add-on: Support,Event
C00043,휱ト0043,2025-11-23,"14,166",Pro Plan,Marketplace
C00197,휱ト0197,2025-08-12,"24,334",Maintenance,Referral
